Identificador,Nome da Planta,Região,Nome Científico,Descrição,Altura Média,pH Ideal do Solo,Resistência contra Pragas
1,Rosa Vermelha,América do Norte,Rosa spp,Cor vibrante e fragrância,0.6,6.0,7.2
2,Orquidea Phalaenopsis,Sudeste Asiático,Phalaenopsis spp,Flores delicadas e variedade de cores,0.4,6.5,4
3,Lirio-do-Vale,América do Norte,Convallaria majalis,Flores brancas em forma de sino e aroma doce,0.2,5.5,5.6
4,Girassol,América do Norte,Helianthus annuus,Grandes cabecas amarelas voltadas para o sol,2.0,6.0,2
5,Tulipa,Holanda,Tulipa spp,Variedade de cores e formas,0.5,6.5,6.8
6,Orquidea Cattleya,América do Sul,Cattleya spp,Flores grandes e vistosas,0.8,6.0,5.1
7,Violeta Africana,África,Saintpaulia ionantha,Delicadas e folhas aveludadas,0.1,5.5,8.9
8,Bromelia,América do Sul,Bromeliaceae,Coloridas e inflorescencias exóticas,0.3,6.0,3.1
9,Iris,Europa,Iris spp,Ampla gama de cores,0.7,6.5,7.3
10,Lirio Asiático,Ásia,Lilium spp,Flores grandes e perfumadas em várias cores,1.0,6.0,6
11,Margarida,Europa,Leucanthemum vulgare,Pétalas brancas e miolo amarelo,0.4,6.5,4.5
12,Jasmim Árabe,Ásia,Jasminum sambac,Flores brancas extremamente perfumadas,1.5,6.5,6
13,Hortênsia,Ásia,Hydrangea spp,Forma de pompom em tons de rosa azul e branco,1.2,5.5,5.2
14,Magnólia,América do Norte,Magnólia spp,Flores grandes e vistosas em várias cores,5.0,6.0,3.8
15,Crisântemo,Ásia,Chrysanthemum spp,Ampla gama de cores,0.5,6.5,7.4
16,Lavanda,Mediterrâneo,Lavandula spp,Folhas cinza,0.6,7.0,4
17,Rosa Branca,América do Norte,Rosa branca spp,Simboliza pureza e inocência,0.6,6.0,8.3
18,Begônia,América do Sul,Begonia spp,Folhas decorativas,0.3,6.0,5
19,Hibisco,Tropical,Hibiscus spp,Atraem beija-flores,1.2,6.5,6.8
20,Lírio-do-Vale azul,Ásia,Convallaria azul majalis,Flores brancas em forma de sino e aroma doce,0.2,5.5,5.3
21,Gerânio,África,Geranium spp,Aroma característico,0.4,6.0,7.2
22,Violeta,América do Norte,Viola spp,Cores e com aroma suave,0.1,5.5,4.1
23,Cacto,América do Norte,Cactaceae,Espinhos e flores chamativas,0.3,6.5,2.8
24,Lisianthus,América do Norte,Eustoma grandiflorum,Pétalas macias em tons pastel,0.6,6.0,6.7
25,Bambu,Ásia,Bambusoideae,Folhas estreitas,3.0,6.5,3
26,Avenca,Regiões de clima úmido e sombreado,Adiantum ve spp,Conhecida por suas folhas delicadas e frágeis,0.25,6,6.6
27,Gérbera,África,Gerbera jamesonii,Tons de laranja amarelo rosa e vermelho,0.3,5.5,6
28,Orquídea Vanda,Sudeste Asiático,Vanda spp,Coloridas que crescem em hastes pendentes,1.0,6.0,5.3
29,Bromélia-Guzmania,América do Sul,Guzmania spp,Destaca em ambientes internos,0.4,6.5,8
30,Suculenta,América do Norte,Succulentae,Conhecida por sua aparência única,0.2,5.5,5
31,Malva,nordeste do Estado do Pará,Malva spp,Conhecido por suas flores em forma de sino e folhas palmadas.,0.9,6.75,7
32,Goivo,Região mediterrânea,Matthiola incana,Flores perfumadas e coloridas,0.45,6.5,7
33,Rosa Amarela,América do Norte,Rosa amarela spp,Simboliza alegria e amizade,0.6,6.0,6.5
34,Begônia Rex,África,Begonia rex,Folhas grandes e coloridas que são o destaque da planta,0.3,6.0,4
35,Orquídea Dendrobium,Sudeste Asiático,Dendrobium spp,Crescem em hastes longas,0.4,6.5,7.7
36,Girassol Anão,América do Norte,Helianthus pequeno,Cabecas amarelas e voltadas para o sol,0.6,6.0,3
37,Peônia,Ásia,Paeonia spp,Variedade de cores,0.8,6.5,7.2
38,Áster,China,Aster spp,Flores vibrantes e abundantes,0.35,6.5,8.3
39,Lírio-de-Paz,América do Sul,Spathiphyllum wallisii,Folhas verdes brilhantes e flores brancas,0.5,6.0,4
40,Flor-de-Maio,América do Sul,Hatiora gaertneri,Floresce no final de maio,0.3,6.5,5
41,Orquídea Cymbidium,Sudeste Asiático,Cymbidium spp,Grandes e duradouras em cores variadas,0.6,5.5,6.8
42,Peperômia,América do Sul,Peperomia spp,Pequenas e decorativas,0.2,6.0,3
43,Orquídea Miltonia,Sudeste Asiático,Miltonia spp,Forma de copo e aroma suave,0.4,6.5,5
44,Bromélia-Neoregelia,América do Sul,Neoregelia spp,Tons de vermelho e rosa,0.3,5.5,7.9
45,Barba-de-serpente,Regiões tropicais e subtropicais,Ophiopogon japonicus,Folhagem densa e atraente,0.15,6,6
46,Violeta Perfumada,África,Saintpaulia perf ionantha,Folhas aveludadas,0.1,5.5,8.9
47,Rosa Rosa,América do Norte,Rosa rosa spp,Simboliza amor e romance,0.6,6.0,7.3
48,Agerato,América central e América do norte,Ageratum houstonianum,Flores agrupadas em inflorescências.,0.38,6.75,7
49,Tagetes,portugal,Tagetes spp,Aroma característico,0.37,6.5,8
50,Bouganville,Brasil,Bougainvillea spp,Flores coloridas e folhas verdes,2.0,6.0,3.1
51,Cacto-Estrela,América do Norte,Astrophytum asterias,Estrela em suas hastes,0.1,5.5,3.4
